id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,,,,,,,,,,,,
6hlpPqTRqUZI2B4TCOycDf,0.703,0.953,7,-0.674,1,0.256,0.051,0.0054,0.0717,0.845,194.035,Britney Spears,,,,,,,,,,,,
1xg1yGPy1Y3YUf44s6TB1o,0.534,0.5429999999999999,3,-6.857,1,0.0245,0.579,0,0.1119999999999999,0.418,78.99600000000002,Britney Spears,,,,,,,,,,,,
4rIz1mOBHqIo6Mk7DzuoPs,0.9,0.693,11,-3.989,0,0.0751,0.0245,0.00278,0.04,0.8640000000000001,107.021,Britney Spears,,,,,,,,,,,,
6dKYAtGciLRm8uOD1LiSVf,0.7170000000000001,0.877,0,-4.266,1,0.0375,0.0136,0.000814,0.0616,0.794,111,Britney Spears,,,,,,,,,,,,
29viePXNqWUw1cxqzOcuOD,0.7090000000000001,0.728,9,-1.643,1,0.185,0.000811,0.105,0.564,0.5720000000000001,180.107,Britney Spears,,,,,,,,,,,,
4PoTu14Wi2o9l0Rb09gBCa,0.667,0.898,1,-1.843,0,0.0448,0.00293,0.000722,0.159,0.7509999999999999,110.056,Britney Spears,,,,,,,,,,,,
0FaBorty7hr1lpyzXSRPEf,0.79,0.905,8,-4.122,0,0.0576,0.0903,0.00359,0.0955,0.77,92.008,Britney Spears,,,,,,,,,,,,
5FFFvpCMxIWtTF7DmUBBIs,0.7559999999999999,0.85,1,-2.468,0,0.033,0.024,0.0034,0.0538,0.655,100.251,Britney Spears,,,,,,,,,,,,
4p701COQh5KvaP4zvqnx8F,0.703,0.925,7,-4.905,0,0.0301,0.0816,0,0.139,0.741,133.391,Britney Spears,,,,,,,,,,,,
6fA0t8bkZ4taxr86QkokWJ,0.451,0.812,10,-6.54,1,0.089,0.114,0,0.4639999999999999,0.747,74.007,Britney Spears,,,,,,,,,,,,
7zs5aog6tlIeniHcnoB0HJ,0.604,0.851,0,-4.78,0,0.0274,0.00616,0.000366,0.0511,0.649,144.015,Britney Spears,,,,,,,,,,,,
1dVOsIMGb0eqoqslLLlbxM,0.795,0.6509999999999999,11,-5.587,0,0.0912,0.123,0,0.2,0.68,100.045,Britney Spears,,,,,,,,,,,,
7LooG61VBsz4PqtCCVUs0z,0.687,0.73,7,-7.498,1,0.0509,0.00529,0,0.0938,0.586,134,Britney Spears,,,,,,,,,,,,
7dvpIzRPKzwXWDn9MHZHJF,0.614,0.958,6,-3.548,0,0.0361,0.0127,0.0458,0.3,0.715,124.967,Britney Spears,,,,,,,,,,,,
5rCyOrQQiGVYCpQAwOC94v,0.6940000000000001,0.78,6,-4.796,0,0.0453,0.00379,0.000865,0.376,0.794,125.992,Britney Spears,,,,,,,,,,,,
35gkbAO8yunXSfjDeVmfwc,0.81,0.81,6,-8.515,0,0.0774,0.0213,0.000107,0.0516,0.596,118.997,Britney Spears,,,,,,,,,,,,
