id,artist,latent_0,latent_1,latent_2,latent_3,latent_4
3kgutGd839IOYRl6ekeq6V,Jennifer Lopez,0.53761214,3.0811818,0.5761981,0.5157713,-0.2652965
4ZOyH6KjomjlqCz3oFqglr,Jennifer Lopez,-0.4363088,0.6145414,0.44822633,-0.99544805,-0.48159388
5g5r10mY528xPMkTptbd1y,Jennifer Lopez,-0.7695775,1.8674827,0.00671788,-1.7468294,0.42866656
2xjhJjkb2NRCTDywYVEho5,Jennifer Lopez,-1.4914734,0.15921222,-0.1231715,-0.19483182,-0.34775776
1IymYoKfFRANtZPJc1QSbj,Jennifer Lopez,0.528239,-0.017966392,0.14221883,-2.290007,0.68902564
3adU6Jes8lnvOLnmYYVJgr,Jennifer Lopez,-2.120876,-1.5534556,-0.16169083,-1.1451305,-1.7541951
0mBqwqHDKBHCd2sy8gXKbg,Jennifer Lopez,-0.027271416,-1.2648228,-0.3147177,-1.1406058,0.7391952
4c620OIMXLAdFJnnqdQ0XU,Drake,-0.014130343,-1.0908959,-0.91922677,0.9256125,-3.8482497
3iLGeA7LEHxctzSp7Ff1vf,Bruno Mars,-1.2955619,0.052179478,-0.42747837,-0.2738365,1.5492988
36jvZGzkha6Iofib8BBzOL,The Weeknd,-1.4902889,0.3465282,1.4293014,-0.05689291,0.712318
13XMz3rpVYITzjFIsSYlZ1,John Legend,-0.19223402,0.45760176,-0.40274897,-1.8884664,0.6035363
36myXd7iOvlpoecKzCTHZj,John Legend,-0.50347036,0.93983334,1.0816983,0.19421144,-0.6842758
2Gu7uiGb7ZDOQ1O9jZJQEH,John Legend,1.0326568,-0.18944816,-0.43574965,0.94189554,0.010849507
49H7RzdbKiIob64vinzhGz,John Legend,-0.29348367,0.9048827,-0.87994736,1.0686158,1.3006352
0ImOL4s238XPV8d2DKTJ2D,Kelly Clarkson,-0.20925388,-1.1602416,0.7100022,-0.071628325,-0.10755475
2YIWF4kDTRwcRvqkgzHiwe,John Legend,0.24133602,2.0214367,0.41174248,-0.32824993,0.6342841
3avdONNot5NMyhZNcgWRcu,John Legend,0.9113143,0.46252987,0.38722405,0.036461063,2.2800784
0FuXrVBkBEn7WmPm8rT4GV,John Legend,0.4035245,0.4396377,-0.5024574,-0.4063202,0.5549224
1x0NszvaftnHtijIId3ivk,John Legend,0.28946385,0.26200786,0.3608959,-0.11357153,1.3081071
22bn19ANSX3JgFDmtGjkVV,John Legend,0.37397128,0.985302,0.22518748,1.1344113,-0.18187945
198bofpPaeh8EUqFBldNJQ,John Legend,0.005479192,2.0126781,0.19942616,-0.48268825,1.1656865
2MslTB54EOMr1GgJbTzj0K,John Legend,0.66123515,0.38121974,0.8949749,0.19719726,2.1780505
50p1UrHZsX6KkVydAvSxHC,John Legend,0.07806646,-0.5775914,-1.2874461,0.6536998,0.20533934
4awnryHolfr6rVuUnHM30j,John Legend,0.3382217,0.8855038,2.24324,-1.9637617,-1.181434
2cUW96AVns2GoEO3DWGo8v,John Legend,0.45990333,-0.05483874,-0.1395478,1.9902685,-0.12768054
5EOP13KkGVGTzUGB0o5zal,John Legend,-1.6989524,0.6894547,0.2556478,0.7274424,2.0234988
1vBHsNnwNClkbxDYh5shOs,John Legend,-0.7644269,-0.8894637,-0.6282512,0.07422535,0.52216715
47ZGdDkt6Vq3L1k3HnMnkC,John Legend,0.34791574,0.8727602,1.0299377,0.8714538,-2.326837
5U7SH58jbqSFW1uUqFWBCU,John Legend,0.44118005,1.0960191,0.8051857,-1.5853322,0.18577221
1DUhAeBCT4r66Gu4P3nirG,P!nk,1.2859656,-0.17019033,-1.8350494,-1.2781706,0.13476008
4k80K0b6KZ2QjAYkXON7q6,P!nk,-0.3850367,1.1808482,0.18239796,-0.55875003,0.5844812
1jF7IL57ayN4Ity3jQqGu0,P!nk,-0.83554316,-1.2578325,0.35348856,-0.42300954,1.7373539
1mKXFLRA179hdOWQBwUk9e,P!nk,1.2320251,0.9504876,0.7376733,-1.1383554,-0.034091763
1QNqrsNQ1JVLEwncov3lEY,P!nk,-0.13150015,1.42335,-0.9148191,-1.2649579,-1.4637843
1EzyTh2gxdnU9sq3ivtw4w,P!nk,0.6961567,-1.3047885,-1.2160987,-0.02993752,-1.3135753
5d4Q9bLZWtsL90vvSh8UWr,P!nk,0.3664769,-0.9398532,-1.4453214,0.2770143,2.2863433
2bq6lTZcVtQ6m8bpaVCwA9,P!nk,1.1751689,0.3587223,0.7636554,0.72084135,-0.76337487
3030YT1OMJa4bxthLLHuVM,P!nk,-0.14942136,1.0102475,0.61289525,-0.9348944,-0.22208516
6l2Q66TlfZqzbRkFrZOMT1,P!nk,0.6152239,0.15814976,0.8070183,-1.3739744,0.85255927
10Hb1MlXsnI7Yi936C97NA,Eminem,1.9633195,1.588637,0.17436661,0.93976194,-1.7700859
5BIL4QX0mLVQGVR0YqkasO,P!nk,0.18185744,-0.07791909,-0.8191003,-2.4137871,-1.1756127
1Vqcqt1QwfjWqWXIlDGaMZ,P!nk,0.220074,-0.18059963,0.22324377,-3.057771,0.90362567
37iUoOyvCGbu3tfjxY1usf,P!nk,0.16602625,-0.88284475,1.1791744,1.2974172,-1.0685992
3LdF68v3DpGluhLtP97s1a,P!nk,-0.32776734,1.6021123,-0.53349215,2.4021218,-1.5802312
4MXX6eANzr0VvZBmgO8OrI,P!nk,1.4533958,-1.1991643,-1.4396921,-1.765647,-0.46633717
6Ip9pqPGZxFAOSHnepy1AI,P!nk,-0.5206891,-0.6486251,-1.3057711,0.023095187,0.7467101
3IbVEi59YVxtbIjF4GrQ6B,Eminem,0.41426453,2.0496547,-0.20375288,0.44560555,-0.6601791
24S7rWWB6ohk2j5ABrm5DJ,Eminem,-0.23581576,0.22948802,-0.21009983,-1.0680392,-0.86316967
5gMA9DaGp2VVu3tfM8YqLP,Chris Brown,-0.65042484,-1.8447062,0.27816215,0.21799985,-0.41040766
6JjBYAT9eiS1LEtav863Ru,Beyonce,-1.2388681,-0.6660332,0.7232299,0.24853288,0.11446103
4kf8eko93JWjalETh1O2Xu,Beyonce,0.77989095,1.0597318,2.0294282,1.0570766,0.17925327
0Psy9zqMacRykO5pfTjJnE,Usher,0.58056897,0.7095491,-0.46661827,0.09123489,0.63840234
5E8sSt4mj4boeyGZyjH3Qq,Alicia Keys,0.684708,-1.963224,-0.27060077,0.59737945,0.4656022
4nhXAeMbjwalAGq51qtE1E,Kelly Clarkson,1.0513322,-0.6278871,1.551944,-0.073388465,0.046362117
2jaMBOw1aSdMcJUAaNiNpc,Miley Cyrus,-1.9351597,0.57925946,0.5078143,-1.8633212,1.2111286
0LYlsuc3mdKKFUp97qZoEF,P!nk,2.4807396,-1.7314965,1.0531052,0.4693284,-0.13465929
1o8MRS1zWzZPuspL59hI33,Drake,-0.1947909,0.76115584,0.17925468,-1.9854876,0.71625113
7Ll3VXNTomulI653x2VDGk,Drake,-0.8750577,-0.67482233,-0.8558048,-0.36460158,-0.57125306
1hIS4cbc3yOt1bq6Tduagb,Drake,-0.6415828,0.43350807,-0.7642059,0.382705,0.45810664
457sgSRzlW4IBmD4U1lnUI,Drake,0.99785364,-0.5703828,0.7543358,-0.3998361,-0.3338063
3faHp5BSC33QM1jDJQp1g4,Drake,-0.16664906,0.23674013,-0.15048832,0.5817933,1.0699058
1CfuoKGlx0PSF5TRkSUARs,Drake,-0.8383346,0.5313748,1.6534255,0.5032623,-1.2115694
6adPlslYOUSYGcOhBTi4r4,Drake,1.5375696,0.47226053,0.7016815,0.4089419,2.5297089
4Qd64vxC8AmAIbojVIGACg,Drake,-1.469363,-1.6089853,0.31041884,-1.2416174,-0.85228115
66dgNf8aAxRr8SCIEXNtaa,Drake,-0.43236548,1.5423142,0.025100695,-1.115874,2.1320782
2bBytC9NqBQJGPRxqh1BK7,Drake,0.65507704,-0.20221308,0.63404655,0.52655065,0.60086596
30BMdMVWYM0cvT0SHYNPEC,Drake,-0.15312316,0.2316077,2.0775352,-1.8310663,1.7743393
1UsqR0mGlDV6vp0V7mWuSw,Drake,-1.3336369,-0.84108496,0.16966581,0.8662484,0.35333693
4EBQHQZe58RtP13QSLUBwL,Drake,0.39335227,0.0862635,0.5049375,-0.7410696,-0.82832634
4cub0tf4JgZZ7UhB9bUQhh,Drake,-0.27817824,-0.67890346,-0.3283133,-0.55346256,0.56332445
4ZeluJQQwC8sdUeOXa8Kwc,Drake,0.65410155,-1.1990123,-0.608092,-0.49402955,1.149936
3A16KjWMsZrJVTpF8qJEJa,Drake,-1.069543,0.41424394,-1.1039706,0.12909907,0.84475124
5oZzgZ0N5gwYJJ7xnoqLa4,Drake,1.610557,0.44203004,-1.6895615,1.507885,1.4404168
5Ahtu6NyzHTXtHDG5fcmKL,Drake,0.07339638,0.03778304,1.1933907,-0.43423176,-1.4053626
0v2DZYuF13Zt1TMi56VoBF,Drake,0.06613385,0.7046097,0.1483417,-0.90882653,-0.575304
6Dq8FZrvx9S28iyaKSwn9x,Chris Brown,-0.48944673,0.8410054,-1.9474281,0.585655,1.5163158
0b6UoVjUzFyZNpHI0aAhKt,Post Malone,1.749364,0.7595194,1.1071639,-0.23590378,0.30376393
6O10oTtZIZ4DkkUqyfCbrR,John Legend,0.19889617,-0.27565664,0.8728502,1.5248873,0.1736346
0QzliuYF4qRMXI76GwepXq,Beyonce,1.2322387,-1.2133107,-1.391194,-1.5933979,-1.494435
03nPEoQOYMuDe7KmGljpmd,Justin Bieber,-0.9717957,0.8248003,-1.0397792,-1.0467236,0.19618757
